rank,lemma,pos,total_count,doc_frequency,is_stopword,is_proper_noun
16557,snarling,NOUN,2,1,0,0
16558,croton,PROPN,2,1,0,1
16559,Excise,PROPN,2,1,0,1
16560,Verral,PROPN,2,1,0,1
16561,pegging,NOUN,2,1,0,0
16562,Sikh,PROPN,2,1,0,1
16563,Esprit,PROPN,2,1,0,1
16564,pigsticking,NOUN,2,1,0,0
16565,syce,NOUN,2,1,0,0
16566,rid,ADJ,2,1,0,0
16567,vulgarly,ADV,2,1,0,0
16568,wallah,ADJ,2,1,0,0
16569,Rifle,PROPN,2,1,0,1
16570,dishonouring,NOUN,2,1,0,0
16571,agenda,NOUN,2,1,0,0
16572,rower,NOUN,2,1,0,0
16573,opt,VERB,2,1,0,0
16574,Spagnall,PROPN,2,1,0,1
16575,insolently,ADV,2,1,0,0
16576,min,X,2,1,0,0
16577,Ellit,PROPN,2,1,0,1
16578,engulf,VERB,2,1,0,0
16579,obscene,NOUN,2,1,0,0
16580,shame,VERB,2,1,0,0
16581,Shin,PROPN,2,1,0,1
16582,shok,NOUN,2,1,0,0
16583,Macdougall,PROPN,2,1,0,1
16584,Magistrate,PROPN,2,2,0,1
16585,zenith,NOUN,2,2,0,0
16586,informal,ADJ,2,2,0,0
16587,lacquer,VERB,2,2,0,0
16588,eighty,NOUN,2,2,0,0
16589,coated,ADJ,2,2,0,0
16590,toll,NOUN,2,2,0,0
16591,buddhist,ADJ,2,2,0,0
16592,incarnation,NOUN,2,2,0,0
16593,barbaric,ADJ,2,2,0,0
16594,heroic,NOUN,2,2,0,0
16595,cinematograph,NOUN,2,2,0,0
16596,syphili,NOUN,2,2,0,0
16597,oversight,NOUN,2,2,0,0
16598,patchwork,NOUN,2,2,0,0
16599,dumpy,ADJ,2,2,0,0
16600,fakir,NOUN,2,2,0,0
16601,thumping,NOUN,2,2,0,0
16602,homesick,VERB,2,2,0,0
16603,ornament,ADJ,2,2,0,0
16604,lazily,ADV,2,2,0,0
16605,mousehole,NOUN,2,2,0,0
16606,sardonic,ADJ,2,2,0,0
16607,wade,VERB,2,2,0,0
16608,philosophically,ADV,2,2,0,0
16609,silly,VERB,2,2,0,0
16610,chewing,NOUN,2,2,0,0
16611,booming,ADJ,2,2,0,0
16612,tingle,ADJ,2,2,0,0
16613,jocosely,ADV,2,2,0,0
16614,bulky,ADJ,2,2,0,0
16615,model,VERB,2,2,0,0
16616,newt,NOUN,2,2,0,0
16617,discountenance,VERB,2,2,0,0
16618,Dravidians,PROPN,2,2,0,1
16619,consequent,ADJ,2,2,0,0
16620,hyena,ADJ,2,2,0,0
16621,ache,PROPN,2,2,0,1
16622,stuffiness,NOUN,2,2,0,0
16623,stodgy,ADJ,2,2,0,0
16624,gallantly,ADV,2,2,0,0
16625,lank,PROPN,2,2,0,1
16626,vermouth,NOUN,2,2,0,0
16627,concertina,ADJ,2,2,0,0
16628,bottom,VERB,2,2,0,0
16629,Hastings,PROPN,2,2,0,1
16630,Booze,PROPN,2,2,0,1
16631,slimy,PROPN,2,2,0,1
16632,man,PROPN,2,2,0,1
16633,fanatically,ADV,2,2,0,0
